;Verano;;Otoño;;Invierno;;Primavera;
;semanas 1-13;;Semanas 14-26;;Semanas 27-39;;Semanas 40-52;
Hora;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem
0;11,5789445;10,86860569;10,52874133;11,03208244;9,900214629;9,796274142;5,791093935;6,339925057
1;10,24638;9,831292485;9,551535133;9,920942272;9,435036623;8,637258862;4,476410278;5,289606699
2;9,564802188;9,057117339;9,084745132;9,338892604;8,541770253;7,986462208;4,329904497;5,141515366
3;9,533587133;8,749200928;9,070242113;9,398202079;8,048713958;7,531775588;4,101314644;4,968179127
4;9,383675206;8,769257149;8,976782779;9,386758526;7,854166747;7,36108398;3,996324609;4,800327472
5;9,297347973;8,709239826;9,172279118;9,658829525;7,796172932;7,230959247;3,844672768;4,747180109
6;9,612920297;9,01099578;9,511855216;10,03180551;8,096466955;7,405104557;3,163273443;4,826638913
7;8,002421793;7,369492662;8,565364077;8,690128599;7,570824669;6,892171327;2,720724892;3,992377886
8;7,486078275;7,136319469;8,416487259;8,069842628;7,421228313;6,254954381;3,211087807;3,751252015
9;6,041293993;6,51328413;7,713808837;7,280550179;8,33371485;7,442915325;3,639789465;3,365706377
10;4,402847345;4,937181334;7,530033243;6,88970325;8,460486805;8,587126708;4,785950152;5,20587777
11;3,824280783;5,205064569;7,981210826;7,169257669;7,262597847;8,963250236;8,486426014;8,440138166
12;4,183350392;5,477253579;8,857429428;7,54634448;6,941020802;9,081843015;8,044416857;7,894915056
13;4,492507337;5,118397404;8,745344162;8,075257256;7,083596774;8,948972727;8,147993636;7,679264172
14;4,999830424;5,381814804;8,616829131;8,398783098;7,177463279;9,107942552;7,30892044;7,358690192
15;5,636942662;5,951027411;8,767919643;8,637222163;7,879389441;9,187511677;7,27957735;7,799950648
16;6,700928765;6,239710731;9,141209256;8,808952294;9,138995305;9,850796838;7,727490566;8,552703562
17;7,530912723;6,979471335;10,4696189;10,0285835;10,1872792;11,18943091;8,303684421;8,987046149
18;8,993321769;8,455809077;14,53741103;14,3992356;12,218777;13,78832842;8,554841145;10,22154754
19;10,32211086;10,11528998;16,16640279;15,84802998;15,83600845;17,53659427;10,51204946;11,42741684
20;13,74118512;13,02548969;15,46428755;15,63761192;17,82829553;19,09517402;15,48754995;15,71728647
21;15,15539197;15,47216696;14,86143298;15,47126588;17,68872777;19,20789071;14,91182922;15,5668944
22;14,04108685;14,81165437;13,63908234;14,37779775;16,73212319;18,36898971;13,79839417;15,47442422
23;12,70812966;13,3799467;12,12515544;12,9450862;14,76361546;16,19700953;12,77995017;13,6774891
