;Verano;;Otoño;;Invierno;;Primavera;
;semanas 1-13;;Semanas 14-26;;Semanas 27-39;;Semanas 40-52;
Hora;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem
0;9,02724155;9,211760437;8,47662252;8,784526881;11,42709256;11,57842523;10,59763006;10,441657
1;8,445679679;8,555618023;7,93528114;8,143285077;10,78955454;10,94034473;9,388610729;9,703133258
2;8,35342838;8,377679266;7,745425926;7,660901441;10,06795128;10,61268037;9,176795114;9,456726112
3;8,292949996;7,910350922;7,512381047;7,117123089;9,563644808;9,82159414;9,107668972;9,249117615
4;8,196642258;7,81342109;7,488077779;6,95656227;9,252360642;9,654795432;8,993131513;9,003631838
5;8,145367083;7,761847076;7,41902185;7,010744147;9,165218986;9,382069777;9,025609473;9,025218944
6;8,192807321;7,800778374;7,5013908;6,904120926;9,395348243;9,461210753;9,344908267;9,193209376
7;7,55222435;7,202294838;7,538348695;6,735516218;9,439017267;9,468185441;8,31465574;8,261527212
8;7,076428181;7,154563626;7,954776374;7,338521713;9,102017376;9,255225945;8,522228698;8,207842975
9;7,216252695;7,279207612;7,670758154;7,663626059;9,022531156;9,554310774;8,449461777;8,309259469
10;6,839166092;6,946190136;6,951511726;7,070355345;8,810855122;8,835448602;7,855809671;7,750571385
11;7,047301274;7,279656323;6,783667415;7,389585691;9,088879248;9,306893158;7,811632472;7,758629615
12;7,523957337;7,846608528;7,221486835;7,522054865;9,481934438;9,5458937;8,177485394;7,902383673
13;7,324051446;7,947582161;7,408448955;7,547568817;9,4219655;9,193546102;7,81969215;8,013920813
14;7,171477995;7,655860067;7,256175668;7,544789968;9,014913754;8,911442651;7,871184113;7,805733996
15;7,371993149;7,573931182;7,539635018;7,426614801;9,228309719;9,065601016;8,287990385;8,274025747
16;7,563628239;7,799600146;8,215097908;8,317903401;9,690112029;9,857477514;8,817446507;8,734340668
17;7,997282316;8,164644555;8,732512224;9,106779626;10,34245017;10,67429091;9,485561558;9,293650759
18;8,29566068;8,537246616;10,63672511;11,03345003;11,99734924;12,46250324;10,57237949;10,40919043
19;8,892603935;9,621287744;12,45638118;12,81855583;14,23659055;14,92460301;11,31812467;11,14703009
20;11,02285148;11,67475334;12,45116953;12,76648624;15,97614345;16,83317002;14,51724854;14,13329359
21;11,55164405;12,11582747;11,6779644;11,78986222;15,38290234;16,07798171;14,35462517;14,60333856
22;10,79878585;11,202019;10,6621795;10,99972284;14,25090377;15,51833508;13,39142645;13,79972273
23;9,639765808;10,37123695;9,506176848;10,24961771;12,77637465;14,24608118;11,64873332;12,26798146
