;Verano;;Otoño;;Invierno;;Primavera;
;semanas 1-13;;Semanas 14-26;;Semanas 27-39;;Semanas 40-52;
Hora;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem
0;8,088659214;8,429960077;8,330662249;8,867304006;10,93279821;10,8181449;8,778057141;8,733816425
1;7,529475154;7,943825575;7,806712297;8,161641685;9,984852604;9,694673562;7,919786388;7,634264492
2;7,608567082;8,002501207;7,86847898;8,10305283;9,749134591;9,704177422;7,606808228;7,485036155
3;7,493225558;8,103752691;7,740659202;7,59681525;9,280985594;9,312394694;7,44113155;7,478171379
4;7,304229842;8,069453765;7,694424604;7,439783161;9,035222109;8,88540468;7,271816549;7,385681908
5;7,48360305;8,316284817;7,734478727;7,333902859;8,907864977;8,867072598;7,383669094;7,402829625
6;7,471524595;7,630466044;7,944942487;7,436548931;8,875339758;8,78274503;7,250025685;7,238611708
7;6,744729736;7,060029944;7,075073671;6,264313478;7,864787118;6,918267152;6,155256542;5,901991119
8;6,590923695;6,642204546;6,888130666;6,451721198;8,1378073;7,188511077;6,482403994;6,438488574
9;6,100054531;6,471726601;6,27622161;5,944875473;7,379701322;6,710073228;6,255999262;6,125423677
10;5,751924493;7,60328645;6,628534312;6,295201666;7,249612089;7,089511412;5,705824677;5,205483329
11;6,126995244;7,903508355;7,183573335;6,585961072;7,559234025;7,788116719;4,917072999;5,206034551
12;6,176434953;7,420835993;7,330566802;7,285650218;7,710229108;8,187499371;5,153416796;5,126379702
13;6,531814684;6,892594648;6,928193921;6,825383537;7,676212162;8,418250626;5,168111352;5,540705041
14;6,193113795;7,661098342;6,936215094;6,859284855;7,835933985;8,466761595;5,665989491;5,995195064
15;6,947864717;7,154935661;7,102948512;7,316258093;8,2966844;8,990065445;6,650319451;6,723790696
16;7,906892869;7,926124416;7,615499758;8,205872372;8,909859424;9,391079704;7,402127791;7,296497102
17;8,495035549;8,594487708;8,923490341;9,336978915;10,11568858;10,58875166;7,913457085;8,050953816
18;9,953079444;10,79678525;12,50888483;12,78262062;13,96175249;14,09347467;9,079979357;9,301966416
19;13,48857616;14,20678205;14,40270796;14,10706443;16,91897636;16,9869507;10,54798992;10,37324191
20;13,31413475;13,86671367;13,28547703;13,69269312;16,27514806;16,8896116;13,58565767;13,71921073
21;12,27951667;12,51057251;12,31992558;13,21028871;15,34631689;16,56861742;13,4372919;13,63191529
22;10,99918729;10,95068409;11,32218636;12,36106494;14,25455762;15,4350146;12,80086344;13,04945355
23;9,37212227;9,557530809;9,731177904;11,16196627;12,58431866;13,64435386;11,0658144;11,49646432
