;Verano;;Otoño;;Invierno;;Primavera;
;semanas 1-13;;Semanas 14-26;;Semanas 27-39;;Semanas 40-52;
Hora;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem
0;9,340717503;9,53164391;9,310979416;10,41183852;13,38296594;14,18475719;10,70629126;11,16538574
1;8,738960575;8,852716587;8,612308988;9,392705842;12,62790911;13,37145606;9,792981868;9,901392108
2;8,643505798;8,668598809;8,266608713;8,858556255;11,64039473;12,41311905;9,446082785;9,469499462
3;8,580927269;8,18504223;8,306030543;8,759956161;11,03186101;11,44530344;9,294628166;9,572756785
4;8,481275191;8,084746456;8,338655032;8,659438057;10,79624135;11,42857682;9,43897415;10,01361737
5;8,428219457;8,031381506;8,333762704;8,750670572;10,80704741;11,51628309;9,414412818;9,761419053
6;8,477307084;8,071664715;8,640086905;8,97920876;11,15327788;11,58929567;9,988903426;10,04065693
7;7,814479515;7,452398507;8,634114817;9,209685515;11,19541939;11,38847438;9,682661693;9,421859679
8;7,322161061;7,403009803;7,710223824;8,329941527;10,47523478;10,53000006;9,123963543;8,912284063
9;7,466841058;7,53198212;7,574323913;8,164064021;10,89827696;11,18020394;8,91965468;8,918802105
10;7,076659915;7,187400428;7,170888586;7,958054564;11,30447675;11,53321917;8,630737497;8,739476222
11;7,292022706;7,532446412;6,932680525;7,767638792;11,42546263;11,90032596;8,542933474;9,106862256
12;7,785230914;8,119086346;7,054470282;7,859929769;11,7407249;12,28424149;8,776549537;8,965579635
13;7,578383181;8,223566345;6,925743098;7,343908145;11,01473831;11,60356075;8,922993683;8,790658541
14;7,420511532;7,921714039;6,940748281;7,228480866;10,24859716;11,03005434;8,534006769;8,560439794
15;7,627989686;7,836940129;7,310999134;7,481293216;10,31846557;11,1074412;8,937527152;8,982252151
16;7,82627941;8,070445573;7,756307202;8,102989374;10,43922253;11,16136109;9,263152395;9,419388114
17;8,274992364;8,44816635;9,074700277;9,600954885;11,18426195;11,81865154;9,895416823;10,09242873
18;8,583732082;8,833707224;10,90106982;11,59034032;12,84556977;13,35546339;10,79152363;10,97122634
19;9,201404522;9,955392279;12,71324776;13,4284315;16,07806554;16,44597016;12,29972895;12,4262203
20;11,40562609;12,08016561;13,17830226;14,12624176;18,78908072;18,99720332;15,22409785;14,90211385
21;11,95278127;12,53655628;12,83075717;13,75974397;18,49404458;18,69548794;15,28066296;15,50124848
22;11,17377966;11,59101531;11,73986929;12,64292542;17,11651202;17,43780183;14,51358423;14,38628168
23;9,974512004;10,73138389;10,37560905;11,7103935;15,61825661;15,79821875;12,62249524;13,13639122
